Date,Station_ID,Period,Order_Model_ID,Target,Actual,PAX,Defects,,,,,,,
427,INSERTION (Meanwell)A,P-5,HLG-185H-24incv,-,135,10,,,,,,,,#REF!
428,INSERTION (Meanwell)A,P-1,HLG-185H-24invc,350,244,11,,,,,,,,
428,INSERTION (Meanwell)A,P-2,HLG-185H-24invc,350,325,11,,,,,,,,
428,INSERTION (Meanwell)A,P-3,HLG-185H-24invc,350,325,11,,,,,,,,
428,INSERTION (Meanwell)A,P-4,HLG-185H-24invc,350,350,12,,,,,,,,
428,INSERTION (Meanwell)A,P-5,HLG-185H-24invc,350,337,12,,,,,,,,
428,TOUCH UP (Meanwell) A,P-1,HLG-185H-24invc,300,200,6,23,,,,,,,
428,TOUCH UP (Meanwell) A,P-2,HLG-185H-24invc,300,250,6,31,,,,,,,
428,TOUCH UP (Meanwell) A,P-3,HLG-185H-24invc,300,250,6,25,,,,,,,
428,TOUCH UP (Meanwell) A,P-4,HLG-185H-24invc,350,300,6,41,,,,,,,
428,TOUCH UP (Meanwell) A,P-5,HLG-185H-24invc,350,300,6,25,,,,,,,
428,Q1 (Meanwell)A,P-1,HLG-185H-24invc,,200,1,,,,,,,,
428,Q1 (Meanwell)A,P-2,HLG-185H-24invc,,200,1,,,,,,,,
428,Q1 (Meanwell)A,P-3,HLG-185H-24invc,,200,1,,,,,,,,
428,Q1 (Meanwell)A,P-4,HLG-185H-24invc,,200,1,,,,,,,,
428,Q1 (Meanwell)A,P-5,HLG-185H-24invc,,200,1,,,,,,,,
429,INSERTION (Meanwell)A,P-1,HLG-185H-24invc,350,318,12,,,,,,,,
429,INSERTION (Meanwell)A,P-2,HLG-185H-24invc,350,382,12,,,,,,,,
429,INSERTION (Meanwell)A,P-3,HLG-185H-24invc,350,400,12,,,,,,,,
429,INSERTION (Meanwell)A,P-4,HLG-185H-24invc,350,355,12,,,,,,,,
429,INSERTION (Meanwell)A,P-5,HLG-185H-24invc,350,365,12,6,,,,,,,
429,TOUCH UP (Meanwell) A,P-1,HLG-185H-24invc,300,300,5,,,,,,,,
429,TOUCH UP (Meanwell) A,P-2,HLG-185H-24invc,300,300,5,,,,,,,,
429,TOUCH UP (Meanwell) A,P-3,HLG-185H-24invc,300,300,5,,,,,,,,
429,TOUCH UP (Meanwell) A,P-4,HLG-185H-24invc,300,300,5,,,,,,,,
429,TOUCH UP (Meanwell) A,P-5,HLG-185H-24invc,300,350,5,,,,,,,,
429,Q1 (Meanwell)A,P-1,HLG-185H-24invc,125,200,1,,,,,,,,
429,Q1 (Meanwell)A,P-2,HLG-185H-24invc,125,100,1,,,,,,,,
429,Q1 (Meanwell)A,P-3,HLG-185H-24invc,125,100,1,,,,,,,,
429,Q1 (Meanwell)A,P-4,HLG-185H-24invc,125,100,1,,,,,,,,
429,Q1 (Meanwell)A,P-5,HLG-185H-24invc,125,200,1,,,,,,,,
429,Assembly Line 5 (Meanwell),P-2,HLG-185H-24invc,350,364,12,,,,,,,,
429,Assembly Line 5 (Meanwell),P-3,HLG-185H-24invc,350,355,12,,,,,,,,
429,Assembly Line 5 (Meanwell),P-4,HLG-185H-24invc,350,235,12,,,,,,,,
429,Q2 (Meanwell)A,P-2,HLG-185H-24invc,250,288,1,,,,,,,,
429,Q2 (Meanwell)A,P-3,HLG-185H-24invc,250,286,1,,,,,,,,
429,Q2 (Meanwell)A,P-4,HLG-185H-24invc,250,214,1,,,,,,,,
429,Q2 (Meanwell)A,P-5,HLG-185H-24invc,250,144,1,,,,,,,,
429,Q4 Line 6 (Meanwell),P-1,HLG-185H-24invc,250,288,1,,,,,,,,
429,Q4 Line 6 (Meanwell),P-2,HLG-185H-24invc,250,216,1,,,,,,,,
430,INSERTION (Meanwell)A,P-1,HLG-185H-24invc,350,357,12,,,,,,,,
430,INSERTION (Meanwell)A,P-3-2,HLG-185H-24invc,,154,,,,,,,,,
430,INSERTION (Meanwell)A,P-4,HLG-185H-24invc,350,375,12,,,,,,,,
430,INSERTION (Meanwell)A,P-5,HLG-185H-24invc,350,211,12,6,,,,,,,
430,TOUCH UP (Meanwell) A,P-1,HLG-185H-24invc,300,300,5,41,,,,,,,
430,TOUCH UP (Meanwell) A,P-2,HLG-185H-24invc,300,300,5,34,,,,,,,
430,TOUCH UP (Meanwell) A,P-3,HLG-185H-24invc,300,300,5,27,,,,,,,
430,TOUCH UP (Meanwell) A,P-4,HLG-185H-24invc,300,300,5,24,,,,,,,
430,TOUCH UP (Meanwell) A,P-5,HLG-185H-24invc,300,170,5,,,,,,,,
430,Q1 (Meanwell)A,P-1,HLG-185H-24invc,125,50,1,,,,,,,,
430,Q1 (Meanwell)A,P-2,HLG-185H-24invc,125,100,1,,,,,,,,
430,Q1 (Meanwell)A,P-3,HLG-185H-24invc,125,150,1,,,,,,,,
430,Q1 (Meanwell)A,P-4,HLG-185H-24invc,125,150,1,,,,,,,,
430,Q1 (Meanwell)A,P-5,HLG-185H-24invc,125,200,1,,,,,,,,
430,Assembly Line 5 (Meanwell),P-1,HLG-185H-24invc,350,262,12,,,,,,,,
430,Assembly Line 5 (Meanwell),P-2,HLG-185H-24invc,350,271,12,,,,,,,,
430,Assembly Line 5 (Meanwell),P-3,HLG-185H-24invc,350,260,12,,,,,,,,
430,Assembly Line 5 (Meanwell),P-4,HLG-185H-24invc,350,261,12,,,,,,,,
430,Q2 (Meanwell)A,P-1,HLG-185H-24invc,250,144,1,,,,,,,,
430,Q2 (Meanwell)A,P-2,HLG-185H-24invc,250,286,1,,,,,,,,
430,Q2 (Meanwell)A,P-3,HLG-185H-24invc,250,232,1,,,,,,,,
430,Q2 (Meanwell)A,P-4,HLG-185H-24invc,250,144,1,,,,,,,,
430,Q2 (Meanwell)A,P-5,HLG-185H-24invc,250,268,1,,,,,,,,
430,Q4 Line 6 (Meanwell),P-1,HLG-185H-24invc,250,214,1,,,,,,,,
430,Q4 Line 6 (Meanwell),P-2,HLG-185H-24invc,250,286,1,,,,,,,,
430,Q4 Line 6 (Meanwell),P-3,HLG-185H-24invc,250,288,1,,,,,,,,
430,Q4 Line 6 (Meanwell),P-4,HLG-185H-24invc,250,230,1,,,,,,,,
430,Q4 Line 6 (Meanwell),P-5,HLG-185H-24invc,250,216,1,,,,,,,,
430,Packing Line 6 (Meanwell),P-2,HLG-185H-24invc,250,204,6,,,,,,,,
430,Packing Line 6 (Meanwell),P-3,HLG-185H-24invc,400,312,6,,,,,,,,
430,Packing Line 6 (Meanwell),P-4,HLG-185H-24invc,400,420,6,,,,,,,,
501,INSERTION (Meanwell)A,P-1,HLG-185H-24invc,350,276,11,,,,,,,,
501,INSERTION (Meanwell)A,P-2,HLG-185H-24invc,350,328,11,,,,,,,,
501,INSERTION (Meanwell)A,P-3,HLG-185H-24invc,350,372,11,,,,,,,,
501,INSERTION (Meanwell)A,P-4,HLG-185H-24invc,350,334,11,,,,,,,,
501,TOUCH UP (Meanwell) A,P-1,HLG-185H-24invc,300,236,4,18,,,,,,,
501,TOUCH UP (Meanwell) A,P-2,HLG-185H-24invc,300,268,4,8,,,,,,,
501,TOUCH UP (Meanwell) A,P-3,HLG-185H-24invc,300,287,4,4,,,,,,,
501,TOUCH UP (Meanwell) A,P-4,HLG-185H-24invc,300,300,4,14,,,,,,,
501,Q1 (Meanwell)A,P-1,HLG-185H-24invc,200,200,1,,,,,,,,
501,Q1 (Meanwell)A,P-2,HLG-185H-24invc,200,200,1,,,,,,,,
501,Q1 (Meanwell)A,P-3,HLG-185H-24invc,200,200,1,,,,,,,,
501,Q1 (Meanwell)A,P-4,HLG-185H-24invc,200,200,1,15,,,,,,,
501,Assembly Line 5 (Meanwell),P-4,HLG-185H-24invc,300,160,7,,,,,,,,
501,Assembly/Prep IP/OP Line 6 (Meanwell),P-1,HLG-185H-24invc,400,300,4,,,,,,,,
501,Assembly/Prep IP/OP Line 6 (Meanwell),P-2,HLG-185H-24invc,400,350,4,,,,,,,,
501,Assembly/Prep IP/OP Line 6 (Meanwell),P-3,HLG-185H-24invc,400,365,4,,,,,,,,
501,Assembly/Prep IP/OP Line 6 (Meanwell),P-4,HLG-185H-24invc,400,210,4,,,,,,,,
501,Q2 (Meanwell)A,P-1,HLG-185H-24invc,250,0,1,,,,,,,,
501,Q2 (Meanwell)A,P-2,HLG-185H-24invc,250,0,1,,,,,,,,
501,Q2 (Meanwell)A,P-3,HLG-185H-24invc,250,0,1,,,,,,,,
501,Q2 (Meanwell)A,P-4,HLG-185H-24invc,250,0,1,,,,,,,,
501,Q2 (Meanwell)A,P-5,HLG-185H-24invc,250,0,1,,,,,,,,
501,Q4 Line 6 (Meanwell),P-1,HLG-185H-24invc,250,0,1,,,,,,,,
501,Q4 Line 6 (Meanwell),P-2,HLG-185H-24invc,250,0,1,,,,,,,,
501,Q4 Line 6 (Meanwell),P-3,HLG-185H-24invc,250,0,1,,,,,,,,
501,Q4 Line 6 (Meanwell),P-4,HLG-185H-24invc,250,0,1,,,,,,,,
501,Q4 Line 6 (Meanwell),P-5,HLG-185H-24invc,250,0,1,,,,,,,,
502,INSERTION (Meanwell)A,P-1,HLG-185H-24invc,350,42,11,,,,,,,,
502,TOUCH UP (Meanwell) A,P-1,HLG-185H-24invc,300,200,1,59,,,,,,,
502,TOUCH UP (Meanwell) A,P-2,HLG-185H-24invc,300,200,1,30,,,,,,,
502,TOUCH UP (Meanwell) A,P-3,HLG-185H-24invc,300,273,1,37,,,,,,,
502,Q1 (Meanwell)A,P-1,HLG-185H-24invc,200,200,1,,,,,,,,
502,Q1 (Meanwell)A,P-2,HLG-185H-24invc,200,200,1,,,,,,,,
502,Q1 (Meanwell)A,P-3,HLG-185H-24invc,200,200,1,,,,,,,,
502,Q1 (Meanwell)A,P-4,HLG-185H-24invc,200,250,1,,,,,,,,
502,Q1 (Meanwell)A,P-5,HLG-185H-24invc,200,200,1,,,,,,,,
502,Assembly Line 5 (Meanwell),P-1,HLG-185H-24invc,300,259,12,,,,,,,,
502,Assembly Line 5 (Meanwell),P-2,HLG-185H-24invc,300,283,12,,,,,,,,
502,Assembly Line 5 (Meanwell),P-3,HLG-185H-24invc,300,276,13,,,,,,,,
502,Assembly Line 5 (Meanwell),P-4,HLG-185H-24invc,300,316,13,,,,,,,,
502,Assembly Line 5 (Meanwell),P-5,HLG-185H-24invc,300,234,13,,,,,,,,
502,Q2 (Meanwell)A,P-1,HLG-185H-24invc,250,144,1,,,,,,,,
502,Q2 (Meanwell)A,P-2,HLG-185H-24invc,250,358,1,,,,,,,,
502,Q2 (Meanwell)A,P-3,HLG-185H-24invc,250,360,1,,,,,,,,
502,Q2 (Meanwell)A,P-4,HLG-185H-24invc,250,285,1,,,,,,,,
502,Q4 Line 6 (Meanwell),P-1,HLG-185H-24invc,250,214,1,,,,,,,,
502,Q4 Line 6 (Meanwell),P-2,HLG-185H-24invc,250,214,1,,,,,,,,
502,Q4 Line 6 (Meanwell),P-3,HLG-185H-24invc,250,270,1,,,,,,,,
502,Q4 Line 6 (Meanwell),P-4,HLG-185H-24invc,250,216,1,,,,,,,,
502,Q4 Line 6 (Meanwell),P-5,HLG-185H-24invc,250,216,1,,,,,,,,
502,Packing Line 6 (Meanwell),P-1,HLG-185H-24invc,350,288,5,,,,,,,,
502,Packing Line 6 (Meanwell),P-2,HLG-185H-24invc,350,300,5,,,,,,,,
502,Packing Line 6 (Meanwell),P-3,HLG-185H-24invc,350,408,7,,,,,,,,
502,Packing Line 6 (Meanwell),P-4,HLG-185H-24invc,350,408,7,,,,,,,,
